reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Boobie High Shoal,134,16,11.94029851,,
Booby Island,376,195,51.86170213,,
Boons Reef,0,0,#DIV/0!,,
Borda 1 E-SE,12,4,33.33333333,,
Borda Oposta 1,48,5,10.41666667,,
Boscobel East,3,2,66.66666667,,
Boscobel Flat,39,2,5.128205128,,
Boscobel West,127,15,11.81102362,,
Boss Reef/Quarter Wreck,27,11,40.74074074,,
Bougenvillea,8,4,50,,
Bouillante - Tahiti Beach,698,203,29.08309456,,
Brain Coral Plateau,0,0,#DIV/0!,,
Bronco Billy,750,604,80.53333333,,
Buccaneer Reef,12,11,91.66666667,,
Buck Island Bay,32,9,28.125,,
Buck Island Slope,26,8,30.76923077,,
Buena Vista,185,82,44.32432432,,
Buggs Hole,434,94,21.65898618,,
Bug's Hole,31,14,45.16129032,,
Bungy Back Side,28,19,67.85714286,,
Buraco da Raquel,102,17,16.66666667,,
"Ca̱ones, Boca Chica",29,15,51.72413793,,
Cabana Pai Orlando,48,5,10.41666667,,
Cabecitos del Cayo,5,2,40,,
Cabeza de Toro,60,27,45,,
Cabo Tres Puntas,31,18,58.06451613,,
Caja de Muertos,132,76,57.57575758,,
Calabash Caye,149,39,26.17449664,,
Caldera,0,0,#DIV/0!,,
Calichan,230,63,27.39130435,,
Calichan Norte- Isla Aguja Pnn Tayrona,0,0,#DIV/0!,,
Campismo Popular,64,43,67.1875,,
Camurupim,95,11,11.57894737,,
Canal da Piscina,20,1,5,,
Canal del Ingles,23,16,69.56521739,,
Canal do Gravata,4,2,50,,
Cane Bay,0,0,#DIV/0!,,
Cannonball Reef,102,37,36.2745098,,
Canon Site,93,5,5.376344086,,
Caracol Barrier Reef Inside West,0,0,#DIV/0!,,
Caracol Barrier Reef Out East,5,5,100,,
Caracol Barrier Reef Out West,3,3,100,,
Caracol Canal NE,7,7,100,,
Caramuanas Sul,1,0,0,,
Carlisle Bay,54,11,20.37037037,,
Carrefour Grosse Chaudiere,4,4,100,,
Carrefour Grosse Chaudiere 2nd Point,0,0,#DIV/0!,,
Casa Camargo,790,76,9.620253165,,
Cateva,47,26,55.31914894,,
Cathedral,191,103,53.92670157,,
Caverna dos Dentoes,114,10,8.771929825,,
Caxexa,128,22,17.1875,,
Cay Caulker Reef,152,91,59.86842105,,
Caye Caulker Deep,59,22,37.28813559,,
Caye Caulker Shallow,34,27,79.41176471,,
Caye Chapel,448,234,52.23214286,,
Caye Chapel Shallow,35,16,45.71428571,,
Caye Sable E (Big),31,0,0,,
Caye Sable E (Small),1,0,0,,
Cayemites North West,2,2,100,,
Cayemites outside barrier,4,4,100,,
Cayes Vertes,218,36,16.51376147,,
Cayo Arena,41,6,14.63414634,,
Cayo Coral,859,39,4.54016298,,
Cayo Enrique,223,70,31.39013453,,
Cayo Largo- Ballenatos,221,73,33.03167421,,
Cayo Rosario,341,129,37.82991202,,
Cayo Timon,879,415,47.21274175,,
Cayo Tuna,1,0,0,,
Cayo Verde,0,0,#DIV/0!,,
Chalet Caribe,57,22,38.59649123,,
Champagne Outer,0,0,#DIV/0!,,
Chankanaab,292,58,19.8630137,,
Channel,279,128,45.8781362,,
Channel Edge,1,1,100,,
"Channel Edge, Boscobel",1,1,100,,
Chapeirao Abrolhos,55,32,58.18181818,,
Chapeirao da Barracuda,41,22,53.65853659,,
Chapeirao da Debora,297,74,24.91582492,,
Chapeirao do Pierre,396,34,8.585858586,,
Chardoniere,25,13,52,,
Chimney,9,7,77.77777778,,
Choicy Point,21,2,9.523809524,,
Chromis Reef,110,65,59.09090909,,
Church Reef,0,0,#DIV/0!,,
Claros,92,55,59.7826087,,
Classroom Reef,78,55,70.51282051,,
Cliff Saint Louis,1,1,100,,
Coconut Court,0,0,#DIV/0!,,
Coconut Court Hotel/Asta,71,9,12.67605634,,
Coculus Rocks,7,6,85.71428571,,
Coki Point,191,42,21.9895288,,
Colombia Bajo,34,3,8.823529412,,
Columbus Park,67,64,95.52238806,,
Columbus Point,0,0,#DIV/0!,,
Commander Reef,100,43,43,,
Congo Cay,72,57,79.16666667,,
Copenhagen,153,4,2.614379085,,
Copenhagen Reef,187,54,28.87700535,,
Corail outside reef,9,8,88.88888889,,
Coral Garden,57,26,45.61403509,,
"Coral Garden, Bavaro",41,16,39.02439024,,
Coral Gardens,2295,750,32.67973856,,
Coral Gardens Deep,28,9,32.14285714,,
Coral Gardens Shallow,39,21,53.84615385,,
Coral Plaza,0,0,#DIV/0!,,
Coral Vivo Norte,114,14,12.28070175,,
Coral Vivo Oeste,107,19,17.75700935,,
Coral Vivo Sul,27,0,0,,
Cordao do Mero,123,3,2.43902439,,
Cottage Reef,46,14,30.43478261,,
Crista Interna da Ilha da Barra,51,0,0,,
Crista Sul da Ilha da Barra,93,13,13.97849462,,
